ip,threat_score,threat_level,reason
192.168.1.177,0.9396,High,high degree + many unique ports + high anomaly score + temporal spike = Possible port scanning
192.168.1.139,0.8793,High,high degree + many unique ports + high anomaly score + temporal spike = Possible port scanning
192.168.1.41,0.8291,High,high degree + many unique ports + temporal spike = Possible port scanning
192.168.1.16,0.8259,High,high degree + many unique ports + high anomaly score + temporal spike = Possible port scanning
192.168.1.53,0.7663,High,high degree + many unique ports + temporal spike = Possible port scanning
192.168.1.86,0.7576,High,high degree + many unique ports + temporal spike = Possible port scanning
192.168.1.116,0.7332,High,high degree + temporal spike = Suspicious activity
192.168.1.62,0.6971,Medium,high degree + many unique ports + temporal spike = Possible port scanning
192.168.1.97,0.6937,Medium,high degree + many unique ports + temporal spike = Possible port scanning
192.168.1.254,0.6756,Medium,high degree + many unique ports + temporal spike = Possible port scanning
192.168.1.227,0.6093,Medium,temporal spike = Suspicious activity
